user_segment,指标,配对用户数,标准推荐均值,随机曝光均值,平均值配对差,p_value,rank_biserial,q_fdr,FDR显著
低曝光次数用户,有效观看率,2999,0.48990933644548185,0.17765268422807606,0.3122566522174058,0.0,0.9487449225197649,0.0,True
低曝光次数用户,长播放率,2999,0.38121340446815605,0.08990936978992997,0.291304034678226,0.0,0.9620328520835119,0.0,True
低曝光次数用户,完播率,2999,0.18449719906635545,0.03557439146382128,0.14892280760253418,0.0,0.8701150219972944,0.0,True
低曝光次数用户,每次曝光平均播放时长（秒）,2999,28.334283916005337,7.156342419373123,21.17794149663221,0.0,0.9453782371901746,0.0,True
低曝光次数用户,点赞率,2999,0.024471990663554516,0.006273024341447149,0.01819896632210737,9.813148408819062e-20,0.38935445925953743,1.7842088016034656e-19,True
低曝光次数用户,评论率,2999,0.0023932310770256753,0.00030186728909636543,0.0020913637879293096,6.697703642402136e-07,0.5210108104488606,9.345632989398329e-07,True
低曝光次数用户,转发率,2999,0.001212704234744915,0.0001816605535178393,0.0010310436812270756,0.1551097721631308,0.1791222778419544,0.17234419129236755,False
低曝光次数用户,主页进入率,2999,0.020560220073357786,0.006078726242080694,0.014481493831277092,1.0154201070121144e-11,0.2450014713515288,1.6466272005601854e-11,True
低曝光次数用户,关注率,2999,0.0018807602534178058,0.0003676558852950984,0.0015131043681227076,0.09681035680704758,0.17803260074969282,0.10959663034760105,False
低曝光次数用户,点踩率,2999,0.000597565855285095,0.0017774258086028678,-0.0011798599533177727,3.802348248287018e-06,-0.6472038714611601,5.185020338573207e-06,True
无历史曝光用户,有效观看率,457,0.5148680525164114,0.19731466083150984,0.3175533916849015,3.0990820022374358e-71,0.9635600833349262,8.452041824283916e-71,True
无历史曝光用户,长播放率,457,0.39988490153172873,0.10474857768052515,0.2951363238512035,8.383776048000572e-72,0.9678578940323906,2.3953645851430207e-71,True
无历史曝光用户,完播率,457,0.19216301969365426,0.04112582056892779,0.1510371991247265,6.728464036635279e-61,0.9003603882893182,1.6821160091588196e-60,True
无历史曝光用户,每次曝光平均播放时长（秒）,457,26.85366691050328,7.860419301094092,18.993247609409188,1.6262409536211187e-67,0.9372402128940404,4.24236770509857e-67,True
无历史曝光用户,点赞率,457,0.032837417943107225,0.007029540481400438,0.025807877461706784,1.7416795734560485e-12,0.7071411042944785,2.902799289093414e-12,True
无历史曝光用户,评论率,457,0.003679431072210066,0.0005531728665207876,0.003126258205689278,0.0015544457377734712,0.620662801765164,0.0018653348853281653,True
无历史曝光用户,转发率,457,0.0007332603938730855,0.00031312910284463894,0.0004201312910284465,0.36431157895704036,0.2735317779565567,0.3834858725863583,False
无历史曝光用户,主页进入率,457,0.026631072210065648,0.006098249452954048,0.020532822757111602,5.408088315439173e-10,0.48850313403267187,8.320135869906419e-10,True
无历史曝光用户,关注率,457,0.003681838074398249,0.0002457330415754924,0.003436105032822757,0.0003339799064418408,0.8022346368715084,0.00043562596492414013,True
无历史曝光用户,点踩率,457,0.0007509846827133479,0.002779431072210066,-0.002028446389496717,0.0047301697247711764,-0.6164908916586769,0.005564905558554325,True
